,,,,,,
length,count,expect,max.err,error counts,,
1,3147163,4122815.2,0,3147163,,
2,1221550,1030703.8,0,1221550,,
3,320416,257676.0,0,320416,,
4,87882,64419.0,0,87882,,
5,9759,16104.7,0,9759,,
6,7279,4026.2,0,7279,,
7,78,1006.5,0,78,,
8,78,251.6,0,78,,
9,1827,62.9,0,1735 92,,
10,251,15.7,1,36 215,,
11,58,3.9,1,14 44,,
12,39,1.0,1,9 30,,
13,76,0.2,1,69 7,,
14,28,0.1,1,18 10,,
15,94,0.0,1,84 10,,
16,41,0.0,1,31 10,,
17,304,0.0,1,280 24,,
18,566,0.0,1,514 52,,
19,97,0.0,1,86 10 1,,
20,84,0.0,2,77 6 1,,
21,17,0.0,2,11 5 1,,
22,21,0.0,2,16 4 1,,
23,16,0.0,2,12 2 2,,
24,12,0.0,2,8 3 1,,
25,36,0.0,2,29 3 4,,
26,23,0.0,2,15 6 2,,
27,165,0.0,2,147 16 2,,
28,32,0.0,2,27 4 1,,
29,14,0.0,2,7 6 1,,
30,12,0.0,3,5 4 2 1,,
31,10,0.0,3,8 1 1,,
32,57,0.0,3,38 11 5 3,,
33,26,0.0,3,18 5 2 1,,
34,17,0.0,3,10 4 3,,
35,10,0.0,3,5 3 1 1,,
36,12,0.0,3,5 6 1,,
37,69,0.0,3,53 10 5 1,,
38,265,0.0,3,243 14 4 4,,
39,121,0.0,3,85 31 4 1,,
40,44,0.0,3,37 4 3,,
41,10,0.0,3,7 1 2,,
42,24,0.0,3,10 0 9 5,,
43,18,0.0,3,10 6 1 1,,
44,8,0.0,3,7 1,,
45,3,0.0,3,3,,
46,1,0.0,3,1,,
47,5,0.0,3,3 2,,
48,9,0.0,3,4 3 0 2,,
49,15,0.0,3,12 1 2,,
50,4,0.0,3,2 2,,
51,20,0.0,3,15 5,,
52,24,0.0,3,17 3 1 3,,
53,20,0.0,3,12 7 1,,
54,7,0.0,3,5 2,,
55,9,0.0,3,3 4 2,,
56,2,0.0,3,0 1 0 1,,
57,2,0.0,3,1 0 1,,
58,8,0.0,3,1 0 7,,
59,11,0.0,3,7 3 1,,
60,3,0.0,3,1 1 0 1,,
61,4,0.0,3,1 0 0 3,,
62,11,0.0,3,5 1 0 5,,
63,4,0.0,3,0 2 1 1,,
64,1,0.0,3,0 0 1,,
65,2,0.0,3,1 0 1,,
66,8,0.0,3,4 2 0 2,,
67,4,0.0,3,2 1 1,,
68,2,0.0,3,1 1,,
69,5,0.0,3,3 1 0 1,,
70,3,0.0,3,0 2 0 1,,
71,3,0.0,3,2 1,,
72,6,0.0,3,5 0 0 1,,
73,7,0.0,3,4 2 1,,
74,10,0.0,3,9 0 0 1,,
75,8,0.0,3,7 0 0 1,,
77,2,0.0,3,1 1,,
78,2,0.0,3,1 1,,
79,4,0.0,3,4,,
80,2,0.0,3,1 1,,
81,2,0.0,3,0 1 1,,
82,2,0.0,3,2,,
83,1,0.0,3,0 0 1,,
84,2,0.0,3,0 1 0 1,,
85,5,0.0,3,3 1 1,,
86,4,0.0,3,1 2 1,,
87,6,0.0,3,3 1 0 2,,
88,1,0.0,3,1,,
89,1,0.0,3,1,,
90,1,0.0,3,0 0 0 1,,
91,1,0.0,3,1,,
92,1,0.0,3,0 0 1,,
93,2,0.0,3,1 1,,
95,2,0.0,3,0 1 1,,
96,1,0.0,3,1,,
97,3,0.0,3,2 0 1,,
98,1,0.0,3,0 0 0 1,,
99,4,0.0,3,0 1 1 2,,
100,4,0.0,3,2 0 1 1,,
102,3,0.0,3,1 1 1,,
103,1,0.0,3,1,,
104,1,0.0,3,1,,
105,4,0.0,3,0 2 1 1,,
106,1,0.0,3,1,,
107,1,0.0,3,0 0 0 1,,
108,1,0.0,3,0 0 1,,
109,3,0.0,3,2 0 0 1,,
110,2,0.0,3,0 2,,
111,3,0.0,3,1 0 2,,
112,4,0.0,3,1 3,,
113,3,0.0,3,2 0 0 1,,
114,1,0.0,3,0 0 1,,
115,1,0.0,3,1,,
116,3,0.0,3,1 1 0 1,,
117,1,0.0,3,0 0 1,,
118,2,0.0,3,0 0 2,,
120,1,0.0,3,0 0 1,,
123,1,0.0,3,0 0 0 1,,
124,3,0.0,3,1 1 1,,
125,1,0.0,3,0 0 0 1,,
128,1,0.0,3,0 0 1,,
129,1,0.0,3,0 0 0 1,,
130,7,0.0,3,1 6,,
131,1,0.0,3,1,,
132,1,0.0,3,1,,
133,1,0.0,3,0 1,,
134,1,0.0,3,0 0 0 1,,